"country","region","date","primary_secondary","ps_lower","ps_upper","primary","p_lower","p_upper","orphanhood","or_lower","or_upper"
"Slovakia","Eastern European",2021-12-31,4161.0795813817,2490.89176185585,6833.76141976543,2092.35416912096,1092.08027867252,3951.59088222098,1861.1180709818,962.33223029468,3551.23014106123
"Slovenia","European",2021-12-31,273.859866747175,159.095668982056,470.6870319411,191.451019572999,98.0139107625645,372.986110365949,177.589531931494,90.1820655668839,349.067557145895
"Somalia","Eastern Mediterranean",2021-12-31,77099.7960132318,60792.4428160477,93103.0643905363,68212.9163460166,53793.1128586997,82377.489172247,64888.0772025989,51171.2862813968,78362.8883794364
"South Africa","African ",2021-12-31,188111.527214017,164303.907018988,212290.545274011,149753.001756458,130800.082487311,169001.585762095,131126.147820207,114530.66549557,147980.518965018
"South Sudan","African ",2021-12-31,19572.4376561519,11203.8502575615,28040.1802777496,17527.3282602329,10057.4150203111,25127.5510412985,16676.6110612921,9569.74640997613,23907.8013958545
"Spain","European",2021-12-31,6744.0140353852,6495.47852430589,6990.41325759736,3136.45522312335,3020.86820065183,3251.0487164681,2743.54310106178,2642.43597358357,2843.78116146026
"Sudan","Eastern Mediterranean",2021-12-31,80047.8127987598,50250.5724537257,109427.174627064,72090.5274818078,45271.0448973652,98550.4574908467,68595.1219249351,43076.4084680578,93770.1596410465
"Suriname","Americas",2021-12-31,497.536445432099,329.074210571432,699.583898279194,378.020679411183,220.76218805385,586.411584884174,347.950308053667,200.738742025434,546.006582694895
"Sweden","European",2021-12-31,857.419715204024,502.629368307679,1448.09813834869,664.815730513733,343.863964979855,1267.83681445314,620.969361801152,318.504315023004,1194.14124068843
"Switzerland","European",2021-12-31,339.732627074249,195.873689717319,581.959973390726,227.929093425783,115.394569235294,442.512935190584,210.849387611008,105.856936008055,412.950820262266
"Syrian Arab Republic","Eastern Mediterranean",2021-12-31,8060.86672332032,1372.55248948934,15332.1912250437,6949.82138240166,1152.00486213102,13589.2534866269,6493.11104572589,1073.77978154507,12754.542517723
"Tajikistan","European",2021-12-31,15081.4611029317,10091.6354928642,20762.2586504614,17201.2378830698,11762.4172562683,22885.8839573791,16530.7814461427,11312.7384743687,21960.3172666805
