"country","region","date","primary_secondary","ps_lower","ps_upper","primary","p_lower","p_upper","orphanhood","or_lower","or_upper"
"Viet Nam","Western Pacific",2021-12-31,30309.8624013803,13052.6455134838,54083.8619378889,19777.4387740537,7726.15380901672,39120.8154568053,17947.6992505399,6936.47689396724,35904.6085979649
"Occupied Palestinian Territory","Eastern Mediterranean",2021-12-31,24008.9965272205,19037.1544600199,28785.9567635717,22143.8801138447,17634.8441935143,26423.4353878714,21057.6000028067,16759.1827383569,25138.4942155256
"Yemen","Eastern Mediterranean",2021-12-31,119970.321649684,63032.1599808795,178035.109169445,111198.094276511,58233.6044366187,164668.723665801,105675.741865657,55313.6421302567,156496.988211069
"Zambia","African ",2021-12-31,172650.940717669,112331.43485594,233922.265692526,154545.558117467,100546.681454092,209307.694901393,147043.63704895,95665.392867113,199143.722336659
"Zimbabwe","African ",2021-12-31,154379.409878127,117267.765525148,191412.865550643,144589.074192859,109830.952607811,179273.965617684,137860.380585846,104719.786132821,170931.152766233
"Turkmenistan","European",2021-12-31,5583.96284820508,3480.74657316314,8625.93576070608,6094.55218565959,3473.03061962266,9982.86306284882,5829.92931200031,3300.29970461966,9593.03868695334
"Greenland","European",2021-12-31,2.09028051761416,1.06824724175598,3.68186778284049,1.70687253583387,0.792044403841654,3.32632268692674,1.59988627860259,0.73831081310627,3.1409135486362
"Bermuda","Americas",2021-12-31,14.1839801089836,6.6247119097752,25.4836161773312,6.14498088481079,2.65928417409714,12.0753188395651,5.40983476158608,2.33241369806811,10.6884324170322
"Puerto Rico","Americas",2021-12-31,469.349030389614,267.54195971945,815.010899976815,192.004844795769,95.8701126018566,379.505576214616,168.383526442804,83.2644942817645,336.219898126767
"United States Virgin Islands","Americas",2021-12-31,201.671791716937,81.704159217545,365.93208807455,128.055490450787,48.1186455607704,257.065131769048,115.942664526546,43.1886900418269,235.067807086062
"Dem. People's Republic of Korea","South-East Asia",2021-12-31,99.962193778107,29.8549013632465,199.736274277967,59.7986072107061,16.9686806809843,130.936132400278,53.8821575105125,15.1949076144965,119.302323239018
"Guam","Americas",2021-12-31,201.955527251764,130.68812528117,296.83130215367,147.764355240484,85.1666655011704,242.323285635169,135.496100173383,77.1912558713201,225.010770200749
"Northern Mariana Islands","Americas",2021-12-31,12.6994823663788,5.61335323298698,23.8797005568393,8.22819585646787,3.21604327932058,17.7694917359666,7.46248081282231,2.88831915092426,16.322702841333
"Global","Global",2022-04-01,14071906.2387981,13420926.3525697,14756251.2234884,11233933.1217401,10681939.9934835,11841391.1560994,10616264.7260921,10089237.1211797,11193293.8341129
"African ","African ",2022-04-01,4190449.26686084,3831265.8495098,4562383.431437,3745971.2664743,3422873.9208482,4077244.22988233,3553134.01623228,3244265.17783886,3872224.78236284
