age,gender,COVID19_deaths,child_age,nb_c,orphans
60-64,Female,904,1,0,0
60-64,Female,904,2,0,0
60-64,Female,904,3,0,0
60-64,Female,904,4,0,0
60-64,Female,904,5,0,0
60-64,Female,904,6,0,0
60-64,Female,904,7,0,0
60-64,Female,904,8,0,0
60-64,Female,904,9,0,0
60-64,Female,904,10,0,0
60-64,Female,904,11,0.0012095857517228,1
60-64,Female,904,12,0.002419125464139144,2
60-64,Female,904,13,0.00362858952352767,3
60-64,Female,904,14,0.004837961488576272,4
60-64,Female,904,15,0.00603112844940867,5
60-64,Female,904,16,0.013097025446428576,12
60-64,Female,904,17,0.02082029968094805,19
60-64,Male,1553,0,0.00176183844011142,3
60-64,Male,1553,1,0.002056028818300382,3
60-64,Male,1553,2,0.002350219196489344,4
60-64,Male,1553,3,0.0026444095746783057,4
60-64,Male,1553,4,0.0032234731675459443,5
60-64,Male,1553,5,0.00358319421257652,6
60-64,Male,1553,6,0.0044470703199521785,7
60-64,Male,1553,7,0.005353242022392836,8
60-64,Male,1553,8,0.0067616081097476065,11
60-64,Male,1553,9,0.007698656014235198,12
60-64,Male,1553,10,0.00863570391872279,13
60-64,Male,1553,11,8.847692075130836e-4,1
60-64,Male,1553,12,0.0015060460946986882,2
60-64,Male,1553,13,0.018650433604504482,29
60-64,Male,1553,14,0.02168288309429099,34
60-64,Male,1553,15,0.025925215204816,40
60-64,Male,1553,16,0.03163039563140486,49
60-64,Male,1553,17,0.03733388959974548,58
65-69,Female,975,0,0,0
65-69,Female,975,1,0,0
65-69,Female,975,2,0,0
65-69,Female,975,3,0,0
65-69,Female,975,4,0,0
65-69,Female,975,5,0,0
65-69,Female,975,6,0,0
65-69,Female,975,7,0,0
65-69,Female,975,8,0,0
65-69,Female,975,9,0,0
65-69,Female,975,10,0,0
65-69,Female,975,11,0,0
65-69,Female,975,12,0,0
65-69,Female,975,13,0,0
65-69,Female,975,14,0,0
65-69,Female,975,15,0,0
65-69,Female,975,16,0.001074250401785714,1
65-69,Female,975,17,0.002148242935278032,2
65-69,Male,1609,0,6.83608058608059e-4,1
65-69,Male,1609,1,8.992541349087312e-4,1
65-69,Male,1609,2,0.0011149002112094033,2
65-69,Male,1609,3,0.0013305462875100756,2
65-69,Male,1609,4,0.0016964814361040764,3
65-69,Male,1609,5,0.00196747352496218,3
65-69,Male,1609,6,0.00233033162223648,4
65-69,Male,1609,7,0.00263297337105524,4
65-69,Male,1609,8,0.0032687242336258224,5
65-69,Male,1609,9,0.0036095943149553264,6
65-69,Male,1609,10,0.00395046439628483,6
65-69,Male,1609,11,7.174095238095244e-5,0
65-69,Male,1609,12,1.1967238095238108e-4,0
65-69,Male,1609,13,0.007579543410113128,12
65-69,Male,1609,14,0.008565346417700244,14
65-69,Male,1609,15,0.00982584615384615,16
65-69,Male,1609,16,0.01304516096726364,21
65-69,Male,1609,17,0.01626323127190513,26
70-74,Female,999,0,0,0
70-74,Female,999,1,0,0
70-74,Female,999,2,0,0
70-74,Female,999,3,0,0
70-74,Female,999,4,0,0
70-74,Female,999,5,0,0
70-74,Female,999,6,0,0
70-74,Female,999,7,0,0
70-74,Female,999,8,0,0
70-74,Female,999,9,0,0
70-74,Female,999,10,0,0
70-74,Female,999,11,0,0
70-74,Female,999,12,0,0
70-74,Female,999,13,0,0
70-74,Female,999,14,0,0
70-74,Female,999,15,0,0
70-74,Female,999,16,0,0
70-74,Female,999,17,0,0
70-74,Male,1451,0,6.83608058608059e-4,1
70-74,Male,1451,1,6.83608058608059e-4,1
70-74,Male,1451,2,6.83608058608059e-4,1
70-74,Male,1451,3,6.83608058608059e-4,1
70-74,Male,1451,4,8.22029822029822e-4,1
70-74,Male,1451,5,8.75694795351187e-4,1
70-74,Male,1451,6,0.001086692830326589,2
70-74,Male,1451,7,0.0013219420910993717,2
70-74,Male,1451,8,0.0016917860408412098,2
70-74,Male,1451,9,0.00196895001523926,3
