"age","gender","date","deaths","child_age","nb_c","orphans"
"70-74","Female","2021-04-30",3368,3,0,0
"70-74","Female","2021-04-30",3368,4,0,0
"70-74","Female","2021-04-30",3368,5,0,0
"70-74","Female","2021-04-30",3368,6,0,0
"70-74","Female","2021-04-30",3368,7,0,0
"70-74","Female","2021-04-30",3368,8,0,0
"70-74","Female","2021-04-30",3368,9,0,0
"70-74","Female","2021-04-30",3368,10,0,0
"70-74","Female","2021-04-30",3368,11,0,0
"70-74","Female","2021-04-30",3368,12,0,0
"70-74","Female","2021-04-30",3368,13,0,0
"70-74","Female","2021-04-30",3368,14,0,0
"70-74","Female","2021-04-30",3368,15,0,0
"70-74","Female","2021-04-30",3368,16,0,0
"70-74","Female","2021-04-30",3368,17,0,0
"70-74","Male","2021-04-30",6579,0,0.000414770255428662,3
"70-74","Male","2021-04-30",6579,1,0.00057858776552223,4
"70-74","Male","2021-04-30",6579,2,0.000742405275615797,5
"70-74","Male","2021-04-30",6579,3,0.000906222785709365,6
"70-74","Male","2021-04-30",6579,4,0.00107004029580293,7
"70-74","Male","2021-04-30",6579,5,0.0012338578058965,8
"70-74","Male","2021-04-30",6579,6,0.00189455862014381,12
"70-74","Male","2021-04-30",6579,7,0.00222118291664037,15
"70-74","Male","2021-04-30",6579,8,0.00288188373088768,19
"70-74","Male","2021-04-30",6579,9,0.00320850802738424,21
"70-74","Male","2021-04-30",6579,10,0.00386920884163155,25
"70-74","Male","2021-04-30",6579,11,0.00502487438510304,33
"70-74","Male","2021-04-30",6579,12,0.00630799286999413,42
"70-74","Male","2021-04-30",6579,13,0.00746365841346562,49
"70-74","Male","2021-04-30",6579,14,0.00874677689835671,58
"70-74","Male","2021-04-30",6579,15,0.0099024424418282,65
"70-74","Male","2021-04-30",6579,16,0.0118373030420491,78
"70-74","Male","2021-04-30",6579,17,0.01377216364227,91
"75-79","Female","2021-04-30",3425,0,0,0
"75-79","Female","2021-04-30",3425,1,0,0
"75-79","Female","2021-04-30",3425,2,0,0
"75-79","Female","2021-04-30",3425,3,0,0
"75-79","Female","2021-04-30",3425,4,0,0
"75-79","Female","2021-04-30",3425,5,0,0
"75-79","Female","2021-04-30",3425,6,0,0
"75-79","Female","2021-04-30",3425,7,0,0
"75-79","Female","2021-04-30",3425,8,0,0
"75-79","Female","2021-04-30",3425,9,0,0
"75-79","Female","2021-04-30",3425,10,0,0
"75-79","Female","2021-04-30",3425,11,0,0
"75-79","Female","2021-04-30",3425,12,0,0
"75-79","Female","2021-04-30",3425,13,0,0
"75-79","Female","2021-04-30",3425,14,0,0
"75-79","Female","2021-04-30",3425,15,0,0
"75-79","Female","2021-04-30",3425,16,0,0
"75-79","Female","2021-04-30",3425,17,0,0
"75-79","Male","2021-04-30",6000,0,0.000429332264912133,3
"75-79","Male","2021-04-30",6000,1,0.000426419863015439,3
"75-79","Male","2021-04-30",6000,2,0.000423507461118745,3
"75-79","Male","2021-04-30",6000,3,0.00042059505922205,3
"75-79","Male","2021-04-30",6000,4,0.000417682657325356,3
"75-79","Male","2021-04-30",6000,5,0.000414770255428662,2
"75-79","Male","2021-04-30",6000,6,0.000896906229972452,5
"75-79","Male","2021-04-30",6000,7,0.00106072374006602,6
"75-79","Male","2021-04-30",6000,8,0.00154285971460981,9
"75-79","Male","2021-04-30",6000,9,0.00170667722470338,10
"75-79","Male","2021-04-30",6000,10,0.00218881319924717,13
"75-79","Male","2021-04-30",6000,11,0.0031501300645363,19
"75-79","Male","2021-04-30",6000,12,0.00381083087878361,23
"75-79","Male","2021-04-30",6000,13,0.00477214774407274,29
"75-79","Male","2021-04-30",6000,14,0.00543284855832005,33
"75-79","Male","2021-04-30",6000,15,0.00639416542360918,38
"75-79","Male","2021-04-30",6000,16,0.00693089645158863,42
"75-79","Male","2021-04-30",6000,17,0.00746762747956807,45
"80+","Female","2021-04-30",8470,0,0,0
"80+","Female","2021-04-30",8470,1,0,0
"80+","Female","2021-04-30",8470,2,0,0
"80+","Female","2021-04-30",8470,3,0,0
"80+","Female","2021-04-30",8470,4,0,0
"80+","Female","2021-04-30",8470,5,0,0
"80+","Female","2021-04-30",8470,6,0,0
"80+","Female","2021-04-30",8470,7,0,0
"80+","Female","2021-04-30",8470,8,0,0
"80+","Female","2021-04-30",8470,9,0,0
"80+","Female","2021-04-30",8470,10,0,0
"80+","Female","2021-04-30",8470,11,0,0
"80+","Female","2021-04-30",8470,12,0,0
"80+","Female","2021-04-30",8470,13,0,0
"80+","Female","2021-04-30",8470,14,0,0
"80+","Female","2021-04-30",8470,15,0,0
"80+","Female","2021-04-30",8470,16,0,0
"80+","Female","2021-04-30",8470,17,0,0
"80+","Male","2021-04-30",11758,0,0,0
"80+","Male","2021-04-30",11758,1,2.14666132456067e-05,0
"80+","Male","2021-04-30",11758,2,4.29332264912133e-05,1
"80+","Male","2021-04-30",11758,3,6.43998397368199e-05,1
"80+","Male","2021-04-30",11758,4,8.58664529824266e-05,1
"80+","Male","2021-04-30",11758,5,0.000107333066228033,1
"80+","Male","2021-04-30",11758,6,0.000135496882454651,2
"80+","Male","2021-04-30",11758,7,0.000156235395226084,2
"80+","Male","2021-04-30",11758,8,0.000184399211452702,2
"80+","Male","2021-04-30",11758,9,0.000205137724224135,2
"80+","Male","2021-04-30",11758,10,0.000233301540450753,3
"80+","Male","2021-04-30",11758,11,0.000277223235944996,3
"80+","Male","2021-04-30",11758,12,0.000425921045807562,5
"80+","Male","2021-04-30",11758,13,0.000469842741301805,6
"80+","Male","2021-04-30",11758,14,0.00061854055116437,7
"80+","Male","2021-04-30",11758,15,0.000662462246658613,8
"80+","Male","2021-04-30",11758,16,0.00104406396938828,12
"80+","Male","2021-04-30",11758,17,0.00142566569211794,17
