"week","year","spain","france","italy","poland","uk","age","gender"
40,2020,0.4,1.8,0,-1,2.2,"10-14","F"
41,2020,1.6,-0.8,0,-1,1,"10-14","F"
42,2020,0.2,0,-1,-1,-3,"10-14","F"
43,2020,3.2,-0.8,-1.4,1.6,1.4,"10-14","F"
44,2020,0.2,1,-2.8,-2.8,-0.2,"10-14","F"
45,2020,-1,-0.8,-2.4,-2.4,-1,"10-14","F"
46,2020,-3,3,-0.4,0.6,-3.4,"10-14","F"
47,2020,-0.6,-0.2,2,4,-1.2,"10-14","F"
48,2020,0,3.8,-0.8,0.2,-1.2,"10-14","F"
49,2020,-1.4,0.6,-0.8,-0.8,1.2,"10-14","F"
50,2020,-0.6,-2.2,-1.4,-0.4,1.4,"10-14","F"
51,2020,-0.8,0.4,-1.2,-1.2,-0.6,"10-14","F"
52,2020,-0.6,-2.6,-1.8,-1.8,NA,"10-14","F"
53,2020,4,2,3,1,NA,"10-14","F"
1,2020,-4.6,1.4,-2,-4,-4.4,"15-19","M"
1,2021,1.4,-6.6,-3,-3,NA,"15-19","M"
2,2020,5,1.8,-2.8,-1.8,-3.2,"15-19","M"
2,2021,-1,-4.2,-2.8,-2.8,NA,"15-19","M"
3,2020,1.4,4.4,2.2,-0.8,-5.6,"15-19","M"
3,2021,-1.6,-2.6,1.2,1.2,NA,"15-19","M"
4,2020,-1.4,2.2,-1.6,1.4,0.6,"15-19","M"
4,2021,-0.4,-0.800000000000001,1.4,-1.6,NA,"15-19","M"
5,2020,0.6,-0.800000000000001,-3.4,2.6,5.4,"15-19","M"
5,2021,-0.4,-6.8,-5.4,-1.4,NA,"15-19","M"
6,2020,-4,-1.6,6.2,3.2,0,"15-19","M"
6,2021,2,-6.6,-2.8,-1.8,NA,"15-19","M"
7,2020,2.8,1,3.2,-2.8,-1.8,"15-19","M"
7,2021,-4.2,-2,-3.8,-1.8,NA,"15-19","M"
8,2020,0,-1.6,-2,-3,4.8,"15-19","M"
8,2021,-3,5.4,-2,-1,NA,"15-19","M"
9,2020,-2.2,-1.6,5,-1,7,"15-19","M"
9,2021,-1.2,-5.6,NA,-2,NA,"15-19","M"
10,2020,-2,-1,-4,-1,5.4,"15-19","M"
10,2021,5,-7,NA,4,NA,"15-19","M"
11,2020,0.4,-3.6,2.2,-2.8,0.800000000000001,"15-19","M"
11,2021,-1.6,-0.6,NA,0.2,NA,"15-19","M"
12,2020,-0.6,-2.8,-5.6,-0.6,1,"15-19","M"
12,2021,-1.6,-2.8,NA,-4.6,NA,"15-19","M"
13,2020,-0.6,-2.8,0,-3,-2.4,"15-19","M"
13,2021,NA,0.199999999999999,NA,1,NA,"15-19","M"
14,2020,-2.8,-2,-3.2,-5.2,-5.2,"15-19","M"
14,2021,NA,5,NA,-4.2,NA,"15-19","M"
15,2020,-2,-4.2,-6.2,-3.2,-6,"15-19","M"
15,2021,NA,-4.2,NA,-7.2,NA,"15-19","M"
16,2020,-2.2,-2.8,-5,-3,0.199999999999999,"15-19","M"
16,2021,NA,1.2,NA,3,NA,"15-19","M"
17,2020,-2,-4,-1.2,-3.2,0.800000000000001,"15-19","M"
17,2021,NA,NA,NA,2.8,NA,"15-19","M"
18,2020,3.6,2.4,-1.2,1.8,1.8,"15-19","M"
18,2021,NA,NA,NA,-4.2,NA,"15-19","M"
19,2020,0.8,1.6,-10.2,-5.2,-3,"15-19","M"
20,2020,-1.2,-3.6,2.6,-0.4,-6.6,"15-19","M"
21,2020,-2.2,1.8,-1.8,2.2,-2.2,"15-19","M"
22,2020,-1.2,-0.4,0.6,-2.4,-0.199999999999999,"15-19","M"
23,2020,0.8,4.6,4.8,-4.2,-5.6,"15-19","M"
24,2020,1.8,-1.8,-6.8,1.2,-3.8,"15-19","M"
25,2020,0.6,-8,-3.6,1.4,-2,"15-19","M"
26,2020,0.8,1.8,-1.2,-2.2,-7,"15-19","M"
27,2020,-2.2,-6.2,-1.2,-4.2,3,"15-19","M"
28,2020,-3.2,7,-0.4,-4.4,3,"15-19","M"
29,2020,0.8,9,-2.4,-5.4,-2,"15-19","M"
30,2020,2.6,5.6,-4.6,-0.6,-2,"15-19","M"
31,2020,1.2,1.4,-1.4,-8.4,-2.4,"15-19","M"
32,2020,-3.8,-0.6,-5.2,-4.2,3,"15-19","M"
33,2020,3.2,4.4,-0.199999999999999,-2.2,1.8,"15-19","M"
34,2020,-3.2,-1.2,-4,-1,-0.4,"15-19","M"
35,2020,-2.6,5.4,2.2,2.2,7,"15-19","M"
36,2020,0.8,0.6,-5.2,-2.2,-11.4,"15-19","M"
37,2020,1.6,0.199999999999999,-3.6,-2.6,-2.6,"15-19","M"
38,2020,-3,-1.6,-4.6,3.4,2.2,"15-19","M"
39,2020,-2.4,-4,-0.6,3.4,-0.4,"15-19","M"
40,2020,0,2.6,-2.6,3.4,-4.6,"15-19","M"
41,2020,-3.2,-5.2,-3.4,1.6,0.199999999999999,"15-19","M"
42,2020,6,2.2,-2.6,-2.6,-2.6,"15-19","M"
43,2020,5.8,2.8,-3.4,0.6,-3.8,"15-19","M"
44,2020,1.4,-5.6,-2,5,3.2,"15-19","M"
45,2020,1.8,-6.2,3.6,0.6,-4,"15-19","M"
46,2020,-2.2,-4.2,0.2,3.2,-7.2,"15-19","M"
47,2020,-4,-4.4,-6.8,1.2,1.4,"15-19","M"
48,2020,0,0.800000000000001,-3.6,-0.6,6.2,"15-19","M"
49,2020,-0.4,3,-1.4,-0.4,-3,"15-19","M"
50,2020,-0.2,6,-1.8,-2.8,-7.2,"15-19","M"
51,2020,-2,-5.2,-4.4,0.6,-4,"15-19","M"
52,2020,-0.8,-1,-4.2,3.8,NA,"15-19","M"
53,2020,-1,-1,-1,2,NA,"15-19","M"
1,2020,-1.4,1.6,-2.6,0.4,-3.4,"15-19","F"
1,2021,-1.4,3.6,-0.6,-2.6,NA,"15-19","F"
2,2020,-1.4,-2.8,3.2,-0.8,3.4,"15-19","F"
2,2021,-1.4,-1.8,4.2,2.2,NA,"15-19","F"
3,2020,1.4,-1.4,-0.4,-1.4,2,"15-19","F"
3,2021,-2.6,-3.4,1.6,-0.4,NA,"15-19","F"
4,2020,-1.2,1.2,0,-3,-1.8,"15-19","F"
4,2021,-0.2,2.2,2,-1,NA,"15-19","F"
5,2020,0.8,1.6,-2,1,-1.4,"15-19","F"
5,2021,-1.2,-3.4,-2,-2,NA,"15-19","F"
6,2020,-0.2,-1.6,-1.2,-2.2,-4.2,"15-19","F"
6,2021,-1.2,-3.6,-1.2,-1.2,NA,"15-19","F"
7,2020,-2.2,2.2,-0.8,2.2,2.8,"15-19","F"
7,2021,-4.2,1.2,-2.8,0.2,NA,"15-19","F"
8,2020,-2.4,0.4,-1,-2,2.2,"15-19","F"
8,2021,-2.4,-2.6,-2,1,NA,"15-19","F"
9,2020,3.4,-1,1.6,-0.4,1.4,"15-19","F"
9,2021,1.4,-3,NA,2.6,NA,"15-19","F"
10,2020,1.2,-1.6,3,0,3.2,"15-19","F"
10,2021,-1.8,-3.6,NA,3,NA,"15-19","F"
11,2020,-0.4,0.8,1.2,1.2,-1,"15-19","F"
11,2021,2.6,-1.2,NA,1.2,NA,"15-19","F"
12,2020,0.6,-4.2,1.4,1.4,-2.6,"15-19","F"
12,2021,-1.4,-3.2,NA,3.4,NA,"15-19","F"
13,2020,2,-4.4,0,0,-2.8,"15-19","F"
13,2021,NA,-1.4,NA,-2,NA,"15-19","F"
14,2020,1,-0.8,-1.4,-2.4,-1.4,"15-19","F"
14,2021,NA,3.2,NA,2.6,NA,"15-19","F"
15,2020,0.8,3.4,4.4,4.4,-3.2,"15-19","F"
15,2021,NA,1.4,NA,3.4,NA,"15-19","F"
16,2020,-0.8,-2.4,-1.2,-1.2,1.4,"15-19","F"
16,2021,NA,-1.4,NA,-0.2,NA,"15-19","F"
17,2020,-1.6,-1.4,-0.8,-0.8,-0.8,"15-19","F"
17,2021,NA,NA,NA,1.2,NA,"15-19","F"
18,2020,-2.8,-3.6,-3.4,-3.4,-2.2,"15-19","F"
18,2021,NA,NA,NA,-4.4,NA,"15-19","F"
19,2020,0.2,0.4,0.8,1.8,1.4,"15-19","F"
20,2020,-2.2,3.6,0.6,-0.4,-0.4,"15-19","F"
21,2020,-1.2,0.6,-0.6,3.4,-2,"15-19","F"
22,2020,1.2,0.8,1.2,0.2,-3.4,"15-19","F"
23,2020,-2,-1.2,0.2,-1.8,-1.8,"15-19","F"
24,2020,0,-3.4,1.4,-0.6,-2.2,"15-19","F"
25,2020,-1.2,-5,-0.8,2.2,-0.2,"15-19","F"
26,2020,0.6,-1.8,0.8,-1.2,-7,"15-19","F"
27,2020,3.2,2.2,0.8,-2.2,-0.2,"15-19","F"
28,2020,-0.6,3,0,1,-3.6,"15-19","F"
29,2020,0.2,1.2,-0.4,-1.4,0,"15-19","F"
30,2020,0.2,-0.4,2.8,0.8,-2.4,"15-19","F"
31,2020,-1.2,4,1.6,-1.4,-0.8,"15-19","F"
32,2020,5.8,-0.6,-0.6,0.4,0.4,"15-19","F"
33,2020,-0.2,-1.8,0.4,-0.6,-2.2,"15-19","F"
34,2020,3,3.2,0.2,0.2,-0.2,"15-19","F"
35,2020,1,-3.8,-1.6,4.4,0,"15-19","F"
36,2020,-2.2,-4.2,-1.6,-0.6,1.2,"15-19","F"
37,2020,0,-0.6,1,2,2.4,"15-19","F"
38,2020,2.2,2.2,0.4,-0.6,0.4,"15-19","F"
39,2020,2.4,-0.4,1.8,1.8,0.6,"15-19","F"
40,2020,-1.4,2,-2,1,-2,"15-19","F"
41,2020,-1,-0.8,-0.4,-1.4,-0.8,"15-19","F"
42,2020,0.4,-0.2,1.8,-0.2,2.6,"15-19","F"
43,2020,2,1,-1,2,2.4,"15-19","F"
44,2020,-0.8,0.8,-0.4,2.6,0,"15-19","F"
45,2020,4.4,0.8,-1,-1,0.6,"15-19","F"
46,2020,-0.6,-4,-1,1,-1.4,"15-19","F"
47,2020,-2.6,1.4,-1.4,2.6,-4.4,"15-19","F"
48,2020,-0.6,-4,-0.8,1.2,0,"15-19","F"
49,2020,0.4,0.4,-0.6,1.4,2.4,"15-19","F"
50,2020,2,2.6,-1,-1,-5.6,"15-19","F"
51,2020,1.2,-4,-1.4,-0.4,1.4,"15-19","F"
52,2020,-2.2,-2,3.8,1.8,NA,"15-19","F"
53,2020,3,-4,-2,0,NA,"15-19","F"
1,2020,2.4,3,-8.8,9.2,-7.2,"20-24","M"
1,2021,0.4,7,-4.8,8.2,NA,"20-24","M"
2,2020,-3,12,5.4,7.4,1.4,"20-24","M"
2,2021,-3,-7,0.4,3.4,NA,"20-24","M"
3,2020,-0.2,-3.2,-4.8,9.2,2.6,"20-24","M"
3,2021,1.8,-4.2,-4.8,5.2,NA,"20-24","M"
4,2020,2,-3.6,3.8,10.8,2,"20-24","M"
4,2021,-2,3.4,-5.2,4.8,NA,"20-24","M"
5,2020,9,-2.2,1.8,4.8,-7.2,"20-24","M"
5,2021,-3,-5.2,3.8,2.8,NA,"20-24","M"
6,2020,-1.4,-3.4,3.4,1.4,6.4,"20-24","M"
6,2021,0.6,-8.4,-7.6,-1.6,NA,"20-24","M"
7,2020,6,-1.6,-1.4,3.6,0.399999999999999,"20-24","M"
7,2021,3,-4.6,-6.4,2.6,NA,"20-24","M"
8,2020,-5.6,6.6,-0.4,7.6,0.399999999999999,"20-24","M"
8,2021,-2.6,4.6,3.6,4.6,NA,"20-24","M"
9,2020,3,1.8,3.4,3.4,-1.8,"20-24","M"
9,2021,2,-10.2,NA,-0.6,NA,"20-24","M"
10,2020,-0.4,2.2,0.4,4.4,-4.6,"20-24","M"
10,2021,-0.4,1.2,NA,9.4,NA,"20-24","M"
11,2020,-4,5.4,-5.6,8.4,3.8,"20-24","M"
11,2021,0,-1.6,NA,4.4,NA,"20-24","M"
12,2020,-0.4,-6.8,-7.8,2.2,-0.600000000000001,"20-24","M"
12,2021,-2.4,1.2,NA,4.2,NA,"20-24","M"
13,2020,-3.4,-12.4,-4.4,4.6,-8.6,"20-24","M"
13,2021,NA,-0.399999999999999,NA,10.6,NA,"20-24","M"
14,2020,-1,-10,-8,3,3.4,"20-24","M"
14,2021,NA,-5,NA,7,NA,"20-24","M"
15,2020,-6,-3.2,-4.8,3.2,-5,"20-24","M"
15,2021,NA,-1.2,NA,7.2,NA,"20-24","M"
16,2020,1.6,-4.2,-0.199999999999999,12.8,-5,"20-24","M"
16,2021,NA,1.8,NA,0.800000000000001,NA,"20-24","M"
17,2020,-4.6,-1.2,-5.4,4.6,-1.8,"20-24","M"
17,2021,NA,NA,NA,-1.4,NA,"20-24","M"
18,2020,-2.8,-6.8,-8.8,-3.8,-3.8,"20-24","M"
18,2021,NA,NA,NA,-6.8,NA,"20-24","M"
19,2020,-0.8,-7.2,2.4,0.4,-6.4,"20-24","M"
20,2020,-1.8,2.6,-3.4,5.6,-0.800000000000001,"20-24","M"
21,2020,-2.8,0,-6,2,-4,"20-24","M"
22,2020,0,2.4,4.8,-2.2,2.8,"20-24","M"
23,2020,-5.6,3,-5.8,2.2,-8,"20-24","M"
24,2020,-0.4,2,-0.6,-1.6,6.4,"20-24","M"
25,2020,-3.4,-0.600000000000001,-3.6,10.4,-11.6,"20-24","M"
26,2020,-1.4,-6.6,-0.4,0.6,-6,"20-24","M"
27,2020,6.4,-1.8,-4.8,8.2,-8.6,"20-24","M"
28,2020,-0.4,-7.2,-1,-4,-1.8,"20-24","M"
29,2020,1.2,-5.8,-0.800000000000001,2.2,-2,"20-24","M"
30,2020,-0.199999999999999,6.6,4.6,7.6,-5.6,"20-24","M"
31,2020,7.8,-1,3.2,-0.800000000000001,3.6,"20-24","M"
32,2020,1,7.4,0.800000000000001,2.8,-0.199999999999999,"20-24","M"
33,2020,-2,-2.6,-1.8,0.199999999999999,-0.800000000000001,"20-24","M"
34,2020,3.4,4,-1.8,4.2,3.4,"20-24","M"
35,2020,12,-6.4,-3.4,4.6,-2.4,"20-24","M"
36,2020,3.2,3.2,-4.4,14.6,-3.4,"20-24","M"
37,2020,3.4,3.4,2,8,3.2,"20-24","M"
38,2020,-0.6,-8,-6.4,-0.4,7.2,"20-24","M"
39,2020,0.8,-4.6,1.8,1.8,3,"20-24","M"
40,2020,5,1.4,-8.6,4.4,-4.6,"20-24","M"
41,2020,-0.6,0.399999999999999,-3.8,10.2,0,"20-24","M"
42,2020,0.2,-8.2,-0.4,8.6,-4.6,"20-24","M"
43,2020,-6,-6.6,6.8,4.8,-5.2,"20-24","M"
44,2020,1.2,1,-1.2,11.8,-0.199999999999999,"20-24","M"
45,2020,1.4,0.800000000000001,-4.6,2.4,-6,"20-24","M"
46,2020,5.4,-3.4,-3.8,4.2,3.6,"20-24","M"
47,2020,-0.4,9,-2.2,5.8,-9,"20-24","M"
48,2020,6,2.4,-0.6,8.4,9.2,"20-24","M"
49,2020,2.6,4.6,-4.4,12.6,-3.4,"20-24","M"
50,2020,2.4,2.4,-3.8,3.2,3,"20-24","M"
51,2020,-0.4,-4.2,1,11,-5.2,"20-24","M"
52,2020,-1.4,-8.4,-3,13,NA,"20-24","M"
53,2020,2,-7,-4,13,NA,"20-24","M"
1,2020,-0.4,3.4,2.8,2.8,-0.6,"20-24","F"
1,2021,1.6,0.4,-2.2,-2.2,NA,"20-24","F"
2,2020,1.4,1.6,-1.6,0.4,2.4,"20-24","F"
2,2021,-0.6,2.6,0.4,-0.6,NA,"20-24","F"
3,2020,-1,1.6,0.2,-0.8,-3.8,"20-24","F"
3,2021,-3,-1.4,-3.8,1.2,NA,"20-24","F"
4,2020,1.6,9,-0.2,-1.2,-1,"20-24","F"
4,2021,-1.4,2,-1.2,-2.2,NA,"20-24","F"
5,2020,0.6,0,-0.8,2.2,-2.6,"20-24","F"
5,2021,0.6,2,-0.8,-2.8,NA,"20-24","F"
6,2020,-3,2.8,-2.6,2.4,2.6,"20-24","F"
6,2021,4,-0.199999999999999,-0.6,-0.6,NA,"20-24","F"
7,2020,2,1.4,4.4,1.4,0.8,"20-24","F"
7,2021,3,0.4,1.4,-1.6,NA,"20-24","F"
8,2020,-1.2,3,-3,0,-4.4,"20-24","F"
8,2021,-2.2,-2,-2,-4,NA,"20-24","F"
9,2020,-0.8,-2.8,1.2,0.2,-3.4,"20-24","F"
9,2021,3.2,1.2,NA,-0.8,NA,"20-24","F"
10,2020,-0.8,2.2,-2.8,-0.8,1.6,"20-24","F"
10,2021,3.2,-2.8,NA,4.2,NA,"20-24","F"
11,2020,3.6,-2.4,-3.2,-3.2,8.4,"20-24","F"
11,2021,-0.4,-5.4,NA,1.8,NA,"20-24","F"
12,2020,-1,-3,-2.6,2.4,-5.2,"20-24","F"
12,2021,-2,2,NA,4.4,NA,"20-24","F"
13,2020,-1,-5.2,-2,-5,0.800000000000001,"20-24","F"
13,2021,NA,-4.2,NA,1,NA,"20-24","F"
14,2020,1.4,-5.4,-4.2,-2.2,2.2,"20-24","F"
14,2021,NA,-6.4,NA,-0.2,NA,"20-24","F"
15,2020,-1,3.8,-3,3,-1.4,"20-24","F"
15,2021,NA,1.8,NA,4,NA,"20-24","F"
16,2020,1,0.8,1.4,1.4,-2.8,"20-24","F"
16,2021,NA,-0.2,NA,4.4,NA,"20-24","F"
17,2020,0.6,-1.8,-1,2,7.8,"20-24","F"
17,2021,NA,NA,NA,1,NA,"20-24","F"
18,2020,-2.6,-4.2,-4.4,0.6,-0.6,"20-24","F"
18,2021,NA,NA,NA,-1.4,NA,"20-24","F"
19,2020,0,-4,-0.6,-1.6,3,"20-24","F"
20,2020,-3,-1.6,-2,-5,-7,"20-24","F"
21,2020,-1,5,0.6,-0.4,-1,"20-24","F"
22,2020,-0.4,-5.6,-0.8,2.2,-2.6,"20-24","F"
23,2020,-2,3.2,1,0,2,"20-24","F"
24,2020,-0.4,-1.2,2.4,1.4,-1.2,"20-24","F"
25,2020,1.6,-0.4,-2,1,-5.4,"20-24","F"
26,2020,-0.2,-4.2,-0.4,-0.4,-6.4,"20-24","F"
27,2020,-3.6,0.2,0.8,2.8,1.4,"20-24","F"
28,2020,-0.6,-3.4,-1,3,-2.6,"20-24","F"
29,2020,0.8,4.2,3,1,-4.6,"20-24","F"
30,2020,0.2,1,-3.6,-1.6,-5.4,"20-24","F"
31,2020,-3,7.2,-2.4,1.6,1.6,"20-24","F"
32,2020,-1,3.6,-2.4,-3.4,7,"20-24","F"
33,2020,-2.8,-2,-1,-5,-1.4,"20-24","F"
34,2020,4,-4,-0.8,8.2,2.2,"20-24","F"
35,2020,-1.6,-0.2,2.4,2.4,2.4,"20-24","F"
36,2020,-2.8,0.4,2.2,2.2,-3,"20-24","F"
37,2020,-0.8,-1.8,-2,-1,4.2,"20-24","F"
38,2020,-4.6,1.4,-2.8,0.2,1,"20-24","F"
39,2020,3.4,6.2,0.6,-1.4,-1.6,"20-24","F"
40,2020,0,1.2,-2.6,3.4,1.8,"20-24","F"
41,2020,0.4,3.2,-1.8,4.2,0.4,"20-24","F"
42,2020,0.2,-4.4,-1.8,0.2,-7.8,"20-24","F"
43,2020,3.4,-0.199999999999999,3.2,1.2,1,"20-24","F"
44,2020,-0.6,0.800000000000001,4.8,4.8,-5.4,"20-24","F"
45,2020,0.2,-2.6,0,4,-1.6,"20-24","F"
46,2020,1.2,-4.8,-3.4,-4.4,3.2,"20-24","F"
47,2020,-0.6,-0.2,6,7,-3.8,"20-24","F"
48,2020,1.4,3.6,-1.4,-0.4,-3,"20-24","F"
49,2020,-0.6,2.4,2.8,7.8,3.6,"20-24","F"
50,2020,-1.2,-0.2,-5.2,-0.2,-1.6,"20-24","F"
51,2020,-2,-5.6,-5,3,-4.2,"20-24","F"
52,2020,-0.4,-3.4,0.6,4.6,NA,"20-24","F"
53,2020,3,-3,0,6,NA,"20-24","F"
1,2020,-0.6,-5,2.4,14.4,-9.6,"25-29","M"
1,2021,-2.6,-2,-3.6,10.4,NA,"25-29","M"
2,2020,2,-12.8,12.8,15.8,9.8,"25-29","M"
2,2021,2,-6.8,-0.199999999999999,7.8,NA,"25-29","M"
3,2020,-1.6,-6.4,2,1,9,"25-29","M"
3,2021,-1.6,4.6,-4,3,NA,"25-29","M"
4,2020,-0.8,8.2,2.2,10.2,3.4,"25-29","M"
4,2021,-0.8,2.2,-3.8,10.2,NA,"25-29","M"
5,2020,8.2,-3.4,-2.8,12.2,-9.2,"25-29","M"
5,2021,3.2,-5.4,2.2,16.2,NA,"25-29","M"
6,2020,6.2,-0.600000000000001,-3.8,3.2,-14.2,"25-29","M"
6,2021,-1.8,-12.6,-4.8,0.199999999999999,NA,"25-29","M"
7,2020,3.8,-6,4.6,8.6,-6.8,"25-29","M"
7,2021,-6.2,-1,-0.4,11.6,NA,"25-29","M"
8,2020,0.800000000000001,9.2,-7,15,-7,"25-29","M"
8,2021,-0.199999999999999,5.2,-7,12,NA,"25-29","M"
9,2020,-4.8,4,0,-1,-1,"25-29","M"
9,2021,-5.8,-5,NA,1,NA,"25-29","M"
10,2020,-2.6,1.6,1.2,13.2,3.2,"25-29","M"
10,2021,5.4,-3.4,NA,11.2,NA,"25-29","M"
11,2020,-3.8,-1.8,3,5,-1.6,"25-29","M"
11,2021,-1.8,-3.8,NA,3,NA,"25-29","M"
12,2020,-2.6,-10,0.800000000000001,13.8,-1.6,"25-29","M"
12,2021,-1.6,-5,NA,11.8,NA,"25-29","M"
13,2020,-2.2,-2.2,-0.199999999999999,9.8,-0.399999999999999,"25-29","M"
13,2021,NA,-2.2,NA,11.8,NA,"25-29","M"
14,2020,2.2,-1.2,1,-1,6,"25-29","M"
14,2021,NA,-3.2,NA,25,NA,"25-29","M"
15,2020,0.800000000000001,8,-6.8,11.2,8.8,"25-29","M"
15,2021,NA,-5,NA,18.2,NA,"25-29","M"
16,2020,-4.4,1.2,-10,19,4.6,"25-29","M"
16,2021,NA,-2.8,NA,9,NA,"25-29","M"
17,2020,-2,-5.8,-2.4,7.6,0.399999999999999,"25-29","M"
17,2021,NA,NA,NA,15.6,NA,"25-29","M"
18,2020,-2.6,-10,-10,13,5,"25-29","M"
18,2021,NA,NA,NA,8,NA,"25-29","M"
19,2020,-0.800000000000001,-4.8,-3,17,-2,"25-29","M"
20,2020,0.800000000000001,-3,-0.6,13.4,-4.6,"25-29","M"
21,2020,-1.4,0.800000000000001,1,5,-4.6,"25-29","M"
22,2020,2.2,-2.4,-7.4,6.6,0.399999999999999,"25-29","M"
23,2020,2.4,3.6,-6.8,9.2,-8.6,"25-29","M"
24,2020,-2.6,-5.6,-8.8,18.2,-4.8,"25-29","M"
25,2020,-3.6,1.6,-4.8,16.2,-2.4,"25-29","M"
26,2020,1.8,1,0.6,13.6,4.2,"25-29","M"
27,2020,-1,-6.2,2,22,1.4,"25-29","M"
28,2020,0,-11.4,4.4,10.4,-3.8,"25-29","M"
29,2020,-3.2,2.8,-3,7,-9.6,"25-29","M"
30,2020,-1,-3,4.6,21.6,-10.6,"25-29","M"
31,2020,4.2,-3.6,3.4,4.4,-1.4,"25-29","M"
32,2020,7,19.6,-7,3,10.8,"25-29","M"
33,2020,5.2,2.2,-6,10,-5,"25-29","M"
34,2020,5.6,-0.800000000000001,-4,15,-3.4,"25-29","M"
35,2020,2.6,-3.8,-5.2,15.8,7.6,"25-29","M"
36,2020,-1.2,-11.2,-6.8,12.2,-1.4,"25-29","M"
37,2020,-1,-6.2,-3.6,4.4,1.2,"25-29","M"
38,2020,-5,0.199999999999999,-4.6,19.4,-1.4,"25-29","M"
39,2020,2,2.4,1.6,5.6,5.8,"25-29","M"
40,2020,5,-4.4,-2.2,7.8,-8.2,"25-29","M"
41,2020,-5.8,-9.2,-2.2,12.8,-3.4,"25-29","M"
42,2020,-6.2,-13,1.2,16.2,-7.4,"25-29","M"
43,2020,-0.800000000000001,6.4,-2,23,-1.8,"25-29","M"
44,2020,-1.6,-7.6,4.2,25.2,2,"25-29","M"
45,2020,-4.6,-7.4,-4.2,17.8,0.199999999999999,"25-29","M"
46,2020,-3.4,-17.2,-3.8,13.2,2.6,"25-29","M"
47,2020,-1,4.2,7,17,-1,"25-29","M"
48,2020,-4.4,2.6,5.2,14.2,5.6,"25-29","M"
49,2020,-2.6,-1.8,1.4,17.4,6.6,"25-29","M"
50,2020,1.6,7.2,0.6,19.6,-9.2,"25-29","M"
51,2020,3.4,-11.8,-4,6,1.6,"25-29","M"
52,2020,-0.199999999999999,-1.8,-7.6,25.4,NA,"25-29","M"
53,2020,-13,-2,1,16,NA,"25-29","M"
1,2020,-2.8,2,-1.6,4.4,2.4,"25-29","F"
1,2021,-2.8,-1,-1.6,-3.6,NA,"25-29","F"
2,2020,1.4,-3.8,-1.2,-5.2,-0.4,"25-29","F"
2,2021,1.4,-0.800000000000001,0.8,-0.2,NA,"25-29","F"
3,2020,-0.2,-1.4,-1.4,-1.4,-5.2,"25-29","F"
3,2021,-0.2,-2.4,0.6,-1.4,NA,"25-29","F"
4,2020,-1.4,2.2,-0.4,-1.4,-4.4,"25-29","F"
4,2021,-3.4,1.2,-2.4,0.6,NA,"25-29","F"
5,2020,-1.2,-2.6,2,-3,-3.4,"25-29","F"
5,2021,-1.2,-3.6,2,1,NA,"25-29","F"
6,2020,0.2,1,-3,-1,-0.199999999999999,"25-29","F"
6,2021,-4.8,3,-2,3,NA,"25-29","F"
7,2020,1,-4.4,-0.4,2.6,-9.2,"25-29","F"
7,2021,-3,-4.4,-1.4,-1.4,NA,"25-29","F"
8,2020,-0.2,3.6,-0.6,-2.6,-4,"25-29","F"
8,2021,-1.2,-5.4,0.4,-1.6,NA,"25-29","F"
9,2020,-0.4,4.2,-1.4,-0.4,-4,"25-29","F"
9,2021,-1.4,-1.8,NA,1.6,NA,"25-29","F"
10,2020,-1.8,3.4,-5.6,0.4,5.8,"25-29","F"
10,2021,-3.8,-2.6,NA,-1.6,NA,"25-29","F"
11,2020,2.4,0.8,-3.4,1.6,-1.4,"25-29","F"
11,2021,0.4,1.8,NA,-2.4,NA,"25-29","F"
12,2020,1.2,5.6,6.2,0.2,-2.2,"25-29","F"
12,2021,-3.8,2.6,NA,3.2,NA,"25-29","F"
13,2020,5.6,2.4,0.8,0.8,1.4,"25-29","F"
13,2021,NA,3.4,NA,2.8,NA,"25-29","F"
14,2020,6.2,-1.2,-1.6,0.4,-3,"25-29","F"
14,2021,NA,-0.199999999999999,NA,4.4,NA,"25-29","F"
15,2020,0.8,-3.4,-1,-4,-3.6,"25-29","F"
15,2021,NA,-2.4,NA,5,NA,"25-29","F"
16,2020,-1.6,-0.6,-5.2,-3.2,2,"25-29","F"
16,2021,NA,0.4,NA,2.8,NA,"25-29","F"
17,2020,0.6,-6.2,0.4,-1.6,-1,"25-29","F"
17,2021,NA,NA,NA,0.4,NA,"25-29","F"
18,2020,-1.6,-0.6,-1.6,-0.6,9,"25-29","F"
18,2021,NA,NA,NA,0.4,NA,"25-29","F"
19,2020,-2.2,-4.8,-0.4,-2.4,0,"25-29","F"
20,2020,3.4,-3,-4,-2,-1.6,"25-29","F"
21,2020,-1.4,-4,0.2,-2.8,-0.4,"25-29","F"
22,2020,1.2,-1,-2,-4,-5.2,"25-29","F"
23,2020,-2.8,-1,0.2,-5.8,-2.4,"25-29","F"
24,2020,-2.4,-3.6,-2.8,0.2,-2,"25-29","F"
25,2020,-1.8,-0.6,-1.2,-0.2,-1.8,"25-29","F"
26,2020,2.4,-3.2,-1.2,2.8,-2.6,"25-29","F"
27,2020,0.2,-3.6,1.4,3.4,-4,"25-29","F"
28,2020,-0.2,1.6,-3,4,2.8,"25-29","F"
29,2020,-1.4,-2.6,2.6,2.6,-1,"25-29","F"
30,2020,0.2,3.6,-0.6,-0.6,7.2,"25-29","F"
31,2020,4.6,4,-3.2,-0.2,2.6,"25-29","F"
