"age","gender","death.x","death.y","death","child_age","nb_c","orphans"
"80-89","Female",11859.0842465753,16314.4,4455.3157534247,4,0,0
"80-89","Female",11859.0842465753,16314.4,4455.3157534247,5,0,0
"80-89","Female",11859.0842465753,16314.4,4455.3157534247,6,0,0
"80-89","Female",11859.0842465753,16314.4,4455.3157534247,7,0,0
"80-89","Female",11859.0842465753,16314.4,4455.3157534247,8,0,0
"80-89","Female",11859.0842465753,16314.4,4455.3157534247,9,0,0
"80-89","Female",11859.0842465753,16314.4,4455.3157534247,10,0,0
"80-89","Female",11859.0842465753,16314.4,4455.3157534247,11,0,0
"80-89","Female",11859.0842465753,16314.4,4455.3157534247,12,0,0
"80-89","Female",11859.0842465753,16314.4,4455.3157534247,13,0,0
"80-89","Female",11859.0842465753,16314.4,4455.3157534247,14,0,0
"80-89","Female",11859.0842465753,16314.4,4455.3157534247,15,0,0
"80-89","Female",11859.0842465753,16314.4,4455.3157534247,16,0,0
"80-89","Female",11859.0842465753,16314.4,4455.3157534247,17,0,0
"80-89","Male",10379.5883561644,18045.2,7665.6116438356,0,0.000435055528730082,3
"80-89","Male",10379.5883561644,18045.2,7665.6116438356,1,0.000435055528730082,3
"80-89","Male",10379.5883561644,18045.2,7665.6116438356,2,0.000435055528730082,3
"80-89","Male",10379.5883561644,18045.2,7665.6116438356,3,0.000435055528730082,3
"80-89","Male",10379.5883561644,18045.2,7665.6116438356,4,0.000418367346938776,3
"80-89","Male",10379.5883561644,18045.2,7665.6116438356,5,0.000403333878084654,3
"80-89","Male",10379.5883561644,18045.2,7665.6116438356,6,0.000403333878084654,3
"80-89","Male",10379.5883561644,18045.2,7665.6116438356,7,0.000438790931989924,3
"80-89","Male",10379.5883561644,18045.2,7665.6116438356,8,0.000438790931989924,3
"80-89","Male",10379.5883561644,18045.2,7665.6116438356,9,0.000455534772997789,3
"80-89","Male",10379.5883561644,18045.2,7665.6116438356,10,0.000472648835202761,4
"80-89","Male",10379.5883561644,18045.2,7665.6116438356,11,0.000458333333333333,4
"80-89","Male",10379.5883561644,18045.2,7665.6116438356,12,0.000458333333333333,4
"80-89","Male",10379.5883561644,18045.2,7665.6116438356,13,0.000427518880088414,3
"80-89","Male",10379.5883561644,18045.2,7665.6116438356,14,0.000427518880088414,3
"80-89","Male",10379.5883561644,18045.2,7665.6116438356,15,0.000427518880088414,3
"80-89","Male",10379.5883561644,18045.2,7665.6116438356,16,0.000427518880088414,3
"80-89","Male",10379.5883561644,18045.2,7665.6116438356,17,0.000427518880088414,3
"90+","Female",4646.54178082192,22511.8,17865.2582191781,0,0,0
"90+","Female",4646.54178082192,22511.8,17865.2582191781,1,0,0
"90+","Female",4646.54178082192,22511.8,17865.2582191781,2,0,0
"90+","Female",4646.54178082192,22511.8,17865.2582191781,3,0,0
"90+","Female",4646.54178082192,22511.8,17865.2582191781,4,0,0
"90+","Female",4646.54178082192,22511.8,17865.2582191781,5,0,0
"90+","Female",4646.54178082192,22511.8,17865.2582191781,6,0,0
"90+","Female",4646.54178082192,22511.8,17865.2582191781,7,0,0
"90+","Female",4646.54178082192,22511.8,17865.2582191781,8,0,0
"90+","Female",4646.54178082192,22511.8,17865.2582191781,9,0,0
"90+","Female",4646.54178082192,22511.8,17865.2582191781,10,0,0
"90+","Female",4646.54178082192,22511.8,17865.2582191781,11,0,0
"90+","Female",4646.54178082192,22511.8,17865.2582191781,12,0,0
"90+","Female",4646.54178082192,22511.8,17865.2582191781,13,0,0
"90+","Female",4646.54178082192,22511.8,17865.2582191781,14,0,0
"90+","Female",4646.54178082192,22511.8,17865.2582191781,15,0,0
"90+","Female",4646.54178082192,22511.8,17865.2582191781,16,0,0
"90+","Female",4646.54178082192,22511.8,17865.2582191781,17,0,0
"90+","Male",2334.82945205479,10817.6,8482.77054794521,0,0.000435055528730082,4
